# 2pPD
# C C 30 30
# C D 0 50
# D C 50 0
# D D 10 10
# prob_of_init_C = 0.500000
# num_of_tournaments = 151
# num_of_opponents = 10
# prehistory l = 3
# pop_size = 100
# num_of_generations = 200
# tournament_size = 3
# crossover_prob = 0.900000
# mutation_prob = 0.003000
# elitist_strategy = False
# num_of_runs = 1
# seed = 8117072782707428
# freq_gen_start = 30
# delta_freq = 10
# 1 2
# history freq_of_game_histories
  0 0.07
  1 0.03
  2 0.03
  3 0.07
  4 0.00
  5 0.00
  6 0.03
  7 0.03
  8 0.00
  9 0.03
  10 0.00
  11 0.03
  12 0.00
  13 0.00
  14 0.00
  15 0.07
  16 0.04
  17 0.03
  18 0.00
  19 0.00
  20 0.00
  21 0.00
  22 0.03
  23 0.00
  24 0.03
  25 0.00
  26 0.03
  27 0.00
  28 0.03
  29 0.00
  30 0.00
  31 0.00
  32 0.04
  33 0.00
  34 0.03
  35 0.00
  36 0.03
  37 0.03
  38 0.00
  39 0.00
  40 0.00
  41 0.03
  42 0.00
  43 0.00
  44 0.03
  45 0.00
  46 0.00
  47 0.00
  48 0.07
  49 0.00
  50 0.00
  51 0.00
  52 0.03
  53 0.00
  54 0.00
  55 0.00
  56 0.03
  57 0.00
  58 0.00
  59 0.00
  60 0.00
  61 0.03
  62 0.03
  63 0.00
